nohup: ignoring input
epsiode: 0, avg_score: 70.0, duration: 0.7057924270629883
epsiode: 5, avg_score: 518.0, duration: 3.069096565246582
epsiode: 10, avg_score: 452.0, duration: 2.4188265800476074
epsiode: 15, avg_score: 376.0, duration: 2.505190849304199
epsiode: 20, avg_score: 542.0, duration: 2.7817702293395996
epsiode: 25, avg_score: 326.0, duration: 2.287853479385376
epsiode: 30, avg_score: 418.0, duration: 2.694796085357666
epsiode: 35, avg_score: 554.0, duration: 29.146849632263184
epsiode: 40, avg_score: 258.0, duration: 246.00337433815002
epsiode: 45, avg_score: 282.0, duration: 251.01503443717957
epsiode: 50, avg_score: 714.0, duration: 333.1083359718323
epsiode: 55, avg_score: 352.0, duration: 266.80726170539856
epsiode: 60, avg_score: 290.0, duration: 273.1492326259613
epsiode: 65, avg_score: 308.0, duration: 273.4833631515503
epsiode: 70, avg_score: 284.0, duration: 247.4833207130432
epsiode: 75, avg_score: 388.0, duration: 279.083642244339
epsiode: 80, avg_score: 262.0, duration: 244.90204095840454
epsiode: 85, avg_score: 346.0, duration: 277.6552152633667
epsiode: 90, avg_score: 252.0, duration: 223.23439693450928
epsiode: 95, avg_score: 616.0, duration: 354.64213466644287
epsiode: 100, avg_score: 494.0, duration: 293.34524846076965
epsiode: 105, avg_score: 442.0, duration: 281.27777552604675
epsiode: 110, avg_score: 404.0, duration: 304.93183612823486
epsiode: 115, avg_score: 332.0, duration: 272.84599232673645
epsiode: 120, avg_score: 314.0, duration: 261.6116180419922
epsiode: 125, avg_score: 278.0, duration: 261.55816531181335
epsiode: 130, avg_score: 332.0, duration: 266.4004592895508
epsiode: 135, avg_score: 252.0, duration: 238.5710973739624
epsiode: 140, avg_score: 680.0, duration: 318.1710002422333
epsiode: 145, avg_score: 244.0, duration: 236.065176486969
epsiode: 150, avg_score: 666.0, duration: 302.49531412124634
epsiode: 155, avg_score: 420.0, duration: 276.2422020435333
epsiode: 160, avg_score: 320.0, duration: 259.4906733036041
epsiode: 165, avg_score: 562.0, duration: 365.14432168006897
epsiode: 170, avg_score: 390.0, duration: 291.95084404945374
